src_ip,dst_ip,protocol,src_port,dst_port,packet_count,flow_duration,timestamp,packet_length_mean,packet_length_std,packet_length_min,packet_length_max,payload_length_mean,payload_length_total,ttl_mean,tcp_flags_sum,tcp_window_size_mean,tcp_window_size_std,prediction
192.168.88.61,192.168.88.1,17,949,53,24661,25197.673050165176,2015-10-20 15:10:34.524710,73.0,0.0,73,73,31.0,764491,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,11889,53,1,0.0,2015-10-20 15:10:42.722836,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.1,192.168.89.2,1,0,0,2735,25185.33430480957,2015-10-20 15:10:42.722953,97.48043875685558,1.631802703587024,97,118,0.0,0,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,2056,53,126,12908.433036088943,2015-10-20 15:10:48.650908,74.0,0.0,74,74,32.0,4032,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,49953,53,1,0.0,2015-10-20 15:10:52.720982,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,18065,53,1,0.0,2015-10-20 15:11:02.719123,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,45449,53,1,0.0,2015-10-20 15:11:12.717349,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,53425,53,1,0.0,2015-10-20 15:11:22.715357,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,1506,53,1,0.0,2015-10-20 15:11:32.713487,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,56568,53,1,0.0,2015-10-20 15:11:42.711641,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,58324,53,1,0.0,2015-10-20 15:11:52.709771,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,37775,53,1,0.0,2015-10-20 15:12:02.707875,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,10003,53,1,0.0,2015-10-20 15:12:12.706007,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,5065,53,1,0.0,2015-10-20 15:12:22.704175,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,61074,53,1,0.0,2015-10-20 15:12:32.702272,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,16125,53,1,0.0,2015-10-20 15:12:42.700373,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,46852,53,1,0.0,2015-10-20 15:12:52.698518,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,33639,53,1,0.0,2015-10-20 15:13:02.696644,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,33171,53,1,0.0,2015-10-20 15:13:12.694774,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,27588,53,1,0.0,2015-10-20 15:13:22.692880,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,34824,53,1,0.0,2015-10-20 15:13:32.691389,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,41653,53,1,0.0,2015-10-20 15:13:42.689172,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,46802,53,1,0.0,2015-10-20 15:13:52.687276,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,36927,53,1,0.0,2015-10-20 15:14:02.685799,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,36213,53,1,0.0,2015-10-20 15:14:12.683530,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,12562,53,1,0.0,2015-10-20 15:14:22.681632,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
192.168.89.2,8.8.8.8,17,52365,53,1,0.0,2015-10-20 15:14:32.679761,69.0,0.0,69,69,27.0,27,64.0,,,,Benign
